id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	fdrp
cisCRP	met-d-Acetate	Acetate || id:met-d-Acetate	cisCRP	Inverse variance weighted	4	-0.0522128454225953	0.01581508701750919	9.618373686442312e-4	0.3529943142924329
cisCRP	met-d-Acetoacetate	Acetoacetate || id:met-d-Acetoacetate	cisCRP	Inverse variance weighted	4	0.029224381512733	0.02567900435132078	0.2550932533479453	1
cisCRP	met-d-Acetone	Acetone || id:met-d-Acetone	cisCRP	Inverse variance weighted	4	0.012098837429477928	0.01571564204629828	0.4413831987374327	1
cisCRP	met-d-Ala	Alanine || id:met-d-Ala	cisCRP	Inverse variance weighted	4	0.023731192599613142	0.015573556059861608	0.12755534421172965	1
cisCRP	met-d-Albumin	Albumin || id:met-d-Albumin	cisCRP	Inverse variance weighted	4	0.002609752000157796	0.015709894177101925	0.8680612938771527	1
cisCRP	met-d-ApoA1	Apolipoprotein A1 || id:met-d-ApoA1	cisCRP	Inverse variance weighted	4	-0.031235844464366443	0.014365337329851104	0.029675865625484393	1
cisCRP	met-d-ApoB	Apolipoprotein B || id:met-d-ApoB	cisCRP	Inverse variance weighted	4	-0.029339949112838503	0.015673778420392952	0.06121864492569758	1
cisCRP	met-d-ApoB_by_ApoA1	Ratio of apolipoprotein B to apolipoprotein A1 || id:met-d-ApoB_by_ApoA1	cisCRP	Inverse variance weighted	4	-0.008258325821897205	0.015452047064876809	0.5930311618105442	1
cisCRP	met-d-bOHbutyrate	3-Hydroxybutyrate || id:met-d-bOHbutyrate	cisCRP	Inverse variance weighted	4	0.03378340679542359	0.015686621883297343	0.03126806239052156	1
cisCRP	met-d-Cholines	Total cholines || id:met-d-Cholines	cisCRP	Inverse variance weighted	4	-0.030888431971788182	0.014762766983414152	0.03640990367964091	1
cisCRP	met-d-Citrate	Citrate || id:met-d-Citrate	cisCRP	Inverse variance weighted	4	-0.009956205599655476	0.015604966191819268	0.5234637867003618	1
cisCRP	met-d-Clinical_LDL_C	Clinical LDL cholesterol || id:met-d-Clinical_LDL_C	cisCRP	Inverse variance weighted	4	-0.039944730138908306	0.01560451905485814	0.01047269663796256	1
